 03-05-2015	6
 04-02-2015	30
 03-02-2015	38
 03-08-2015	20
 09-15-2015	2
 07-16-2015	16
 02-19-2015	12
 05-05-2015	12
 03-25-2015	2
 06-13-2015	4
 03-03-2015	8
 03-07-2015	12
 03-11-2015	6
 02-20-2015	16
 02-18-2015	28
 06-09-2015	2
 03-29-2015	2
 07-17-2015	18
 07-14-2015	6
 08-28-2015	2
 10-13-2015	2
 03-04-2015	20
 03-06-2015	18
 09-09-2015	2
 08-30-2015	2
 07-11-2015	2
 03-09-2015	18
 12-04-2015	2
 08-23-2015	2
 02-21-2015	2
 05-07-2015	22
 04-01-2015	42
 05-04-2015	22
 06-23-2015	2
 03-10-2015	10
 08-31-2015	2
 03-13-2015	2
