ReviewDate,NumberOfReviews
 09-11-2015,12
 01-26-2015,24
 04-26-2015,9
 02-04-2016,3
 04-09-2015,37
 09-06-2015,9
 10-11-2015,15
 10-27-2015,5
 01-10-2016,5
 01-10-2015,8
 04-01-2015,15
 08-29-2015,6
 06-07-2015,12
 06-20-2015,2
 05-19-2015,8
 11-18-2015,2
 05-13-2015,9
 04-02-2015,27
 08-24-2015,22
 01-30-2016,8
 01-30-2015,15
 11-09-2015,6
 02-03-2015,23
 02-03-2016,4
 04-17-2015,13
 03-06-2016,2
 07-22-2015,4
 12-05-2015,7
 06-06-2015,9
 01-01-2016,5
 01-01-2015,24
 03-15-2016,2
 03-15-2015,9
 05-29-2015,1
 03-06-2015,10
 11-22-2015,10
 09-20-2015,8
 07-18-2015,3
 05-04-2015,10
 01-17-2016,7
 07-31-2015,7
 02-13-2015,13
 01-17-2015,14
 02-13-2016,3
 04-08-2015,15
 10-07-2015,3
 12-09-2014,10
 12-09-2015,16
 01-16-2015,22
 12-12-2014,16
 01-16-2016,8
 12-12-2015,5
 07-08-2015,4
 04-18-2015,16
 10-21-2015,2
 05-17-2015,9
 06-14-2015,10
 06-09-2015,6
 09-28-2015,7
 04-23-2015,14
 07-06-2015,9
 02-01-2015,21
 02-01-2016,6
 07-11-2015,3
 06-12-2015,6
 12-14-2015,3
 11-15-2015,5
 01-02-2015,11
 01-02-2016,7
 11-20-2015,4
 06-24-2015,6
 02-08-2015,27
 02-08-2016,3
 06-02-2015,5
 12-14-2014,14
 05-05-2015,15
 02-11-2015,22
 02-11-2016,5
 11-17-2015,4
 05-22-2015,7
 04-25-2015,8
 10-28-2015,10
 09-21-2015,7
 12-10-2014,11
 03-26-2016,5
 12-10-2015,7
 08-03-2015,14
 11-27-2015,6
 05-15-2015,11
 11-30-2015,21
 01-09-2015,28
 01-06-2015,17
 01-09-2016,5
 12-07-2015,20
 01-06-2016,4
 07-29-2015,10
 12-07-2014,4
 07-01-2015,8
 10-31-2015,4
 07-04-2015,1
 09-18-2015,7
 10-18-2015,2
 04-13-2015,10
 06-19-2015,5
 07-16-2015,4
 12-17-2015,4
 12-17-2014,18
 12-20-2015,1
 12-20-2014,18
 05-10-2015,12
 05-25-2015,7
 06-22-2015,4
 03-03-2015,21
 03-03-2016,3
 11-10-2015,1
 11-05-2015,5
 12-19-2014,19
 12-19-2015,2
 07-14-2015,3
 10-13-2015,3
 04-15-2015,11
 01-24-2016,6
 02-06-2015,21
 01-24-2015,15
 02-06-2016,6
 12-22-2015,5
 12-22-2014,11
 11-07-2015,11
 08-26-2015,9
 08-31-2015,5
 06-04-2015,7
 05-27-2015,5
 03-21-2016,3
 03-21-2015,16
 01-14-2015,28
 02-16-2015,26
 01-14-2016,7
 08-01-2015,1
 11-25-2015,6
 08-08-2015,5
 03-31-2015,40
 05-30-2015,5
 03-18-2015,28
 03-18-2016,6
 02-26-2015,28
 01-04-2015,17
 02-26-2016,6
 09-13-2015,13
 01-04-2016,4
 08-11-2015,7
 05-20-2015,4
 12-02-2015,21
 05-07-2015,8
 03-28-2015,7
 02-16-2016,3
 09-23-2015,9
 10-23-2015,9
